name	type	units	description	sampling_frequency	reference	low_cutoff	high_cutoff	notch
Fp1	EEG	uV	EEG channel at the paper-reported Fp1 10-20 scalp position.	125.0	n/a	n/a	n/a	n/a
Fz	EEG	uV	EEG channel at the paper-reported Fz 10-20 scalp position.	125.0	n/a	n/a	n/a	n/a
Cz	EEG	uV	EEG channel at the paper-reported Cz 10-20 scalp position.	125.0	n/a	n/a	n/a	n/a
Pz	EEG	uV	EEG channel at the paper-reported Pz 10-20 scalp position.	125.0	n/a	n/a	n/a	n/a
P7	EEG	uV	EEG channel at the paper-reported P7 10-20 scalp position.	125.0	n/a	n/a	n/a	n/a
P8	EEG	uV	EEG channel at the paper-reported P8 10-20 scalp position.	125.0	n/a	n/a	n/a	n/a
O1	EEG	uV	EEG channel at the paper-reported O1 10-20 scalp position.	125.0	n/a	n/a	n/a	n/a
O2	EEG	uV	EEG channel at the paper-reported O2 10-20 scalp position.	125.0	n/a	n/a	n/a	n/a
EXG09	EEG	uV	Source EXG Channel 8; scalp position was not reported in the paper.	125.0	n/a	n/a	n/a	n/a
EXG10	EEG	uV	Source EXG Channel 9; scalp position was not reported in the paper.	125.0	n/a	n/a	n/a	n/a
EXG11	EEG	uV	Source EXG Channel 10; scalp position was not reported in the paper.	125.0	n/a	n/a	n/a	n/a
EXG12	EEG	uV	Source EXG Channel 11; scalp position was not reported in the paper.	125.0	n/a	n/a	n/a	n/a
EXG13	EEG	uV	Source EXG Channel 12; scalp position was not reported in the paper.	125.0	n/a	n/a	n/a	n/a
EXG14	EEG	uV	Source EXG Channel 13; scalp position was not reported in the paper.	125.0	n/a	n/a	n/a	n/a
EXG15	EEG	uV	Source EXG Channel 14; scalp position was not reported in the paper.	125.0	n/a	n/a	n/a	n/a
EXG16	EEG	uV	Source EXG Channel 15; scalp position was not reported in the paper.	125.0	n/a	n/a	n/a	n/a
